"MaintenanceRank","Name","Destination","SourceType","FragilityLevel","OverallStatus","Borderline","Url","UrlReachable","UrlStatusCode","UrlFinalUri","ChecksumMode","ChecksumUrl","ChecksumReachable","ChecksumStatusCode","ChecksumFinalUri","DriftFlags","Notes","FallbackRule"
"18","Notepad++ 8.9.6 Portable (x64)","Tools\Portable\System\npp.8.9.6.portable.x64.zip","github-release","medium","ok","False","https://github.com/notepad-plus-plus/notepad-plus-plus/releases/download/v8.9.6/npp.8.9.6.portable.x64.zip","True","200","","pinned+remote","https://github.com/notepad-plus-plus/notepad-plus-plus/releases/download/v8.9.6/npp.8.9.6.checksums.sha256","True","200","","","","Use the matching official Notepad++ GitHub release asset and the version-matched checksums.sha256 file. Demote if checksum coverage disappears or the portable x64 asset is renamed."
"19","System Informer 3.2.25011 Portable","Tools\Portable\System\systeminformer-3.2.25011-release-bin.zip","github-release","medium","ok-limited","False","https://github.com/winsiderss/systeminformer/releases/download/v3.2.25011.2103/systeminformer-3.2.25011-release-bin.zip","True","200","","pinned-only","","","","","","no remote checksum source configured; revalidation is limited to the pinned manifest hash","Use the official System Informer downloads page for the same version and the pinned GitHub release asset. Demote if the downloads page stops publishing SHA-256 hashes or the release asset changes."
"20","VeraCrypt 1.26.24 Setup (x64)","Tools\Portable\Security\VeraCrypt.Setup.1.26.24.exe","github-release","medium","ok","False","https://github.com/veracrypt/VeraCrypt/releases/download/VeraCrypt_1.26.24/VeraCrypt.Setup.1.26.24.exe","True","200","","pinned+remote","https://api.github.com/repos/veracrypt/VeraCrypt/releases/assets/259713771","True","403","","","checksum: HEAD returned 403; treating upstream as reachable but restricted.","Use the matching official VeraCrypt GitHub release asset and asset digest for the same version. Demote if the release asset disappears or the digest endpoint stops agreeing."
"21","PuTTY 0.83 64-bit Installer","Tools\Portable\Network\putty-64bit-0.83-installer.msi","official-version-path","low","ok","False","https://the.earth.li/~sgtatham/putty/0.83/w64/putty-64bit-0.83-installer.msi","True","200","","pinned+remote","https://the.earth.li/~sgtatham/putty/0.83/sha256sums","True","200","","","","Use the versioned PuTTY download directory and the matching sha256sums file. Demote if checksums move or the 64-bit installer is retired."
"22","Wireshark 4.6.6 Win64 Installer","Tools\Portable\Network\Wireshark-4.6.6-x64.exe","official-version-path","low","ok","False","https://2.na.dl.wireshark.org/win64/Wireshark-4.6.6-x64.exe","True","200","","pinned+remote","https://www.wireshark.org/download/SIGNATURES-4.6.6.txt","True","200","","","","Use the official Wireshark Windows x64 installer for the same point release and the matching SIGNATURES-X.Y.Z.txt file. Demote if the SIGNATURES file format changes or stops carrying a BSD-format SHA256 line for the Win64 installer."
"23","Proxmox VE 9.2-1 ISO Installer","ISO\Linux\proxmox-ve_9.2-1.iso","official-version-path","low","ok-limited","False","https://enterprise.proxmox.com/iso/proxmox-ve_9.2-1.iso","True","200","","pinned-only","","","","","","no remote checksum source configured; revalidation is limited to the pinned manifest hash","Use the official Proxmox VE ISO download page and keep the published SHA256SUM. Demote if the ISO page stops exposing a version-pinned artifact and hash."
"24","Ubuntu Server 24.04.4 LTS (amd64)","ISO\Linux\ubuntu-24.04.4-live-server-amd64.iso","official-version-path","low","ok","False","https://releases.ubuntu.com/24.04/ubuntu-24.04.4-live-server-amd64.iso","True","200","","pinned+remote","https://releases.ubuntu.com/24.04/SHA256SUMS","True","200","","","","Use the official Ubuntu 24.04 release directory and SHA256SUMS file for this exact point-release ISO. Demote if the point release is retired and no official checksum remains."
"25","Debian GNU/Linux 13.5.0 netinst (amd64)","ISO\Linux\debian-13.5.0-amd64-netinst.iso","official-version-path","low","ok","False","https://cdimage.debian.org/debian-cd/13.5.0/amd64/iso-cd/debian-13.5.0-amd64-netinst.iso","True","200","","pinned+remote","https://cdimage.debian.org/debian-cd/13.5.0/amd64/iso-cd/SHA256SUMS","True","200","","","","Use the Debian versioned cdimage directory and matching SHA256SUMS. Do not switch to current/ without repinning the version and hash."
"26","Fedora Server 44-1.7 DVD (x86_64)","ISO\Linux\Fedora-Server-dvd-x86_64-44-1.7.iso","official-mirror","medium","ok","False","https://download.fedoraproject.org/pub/fedora/linux/releases/44/Server/x86_64/iso/Fedora-Server-dvd-x86_64-44-1.7.iso","True","200","","pinned+remote","https://download.fedoraproject.org/pub/fedora/linux/releases/44/Server/x86_64/iso/Fedora-Server-44-1.7-x86_64-CHECKSUM","True","200","","","","Use Fedora release 44 Server x86_64 ISO directory and the signed CHECKSUM file. Demote if download.fedoraproject.org stops resolving to the pinned artifact."
"27","FreeBSD 15.0-RELEASE amd64 disc1 ISO","ISO\BSD\FreeBSD-15.0-RELEASE-amd64-disc1.iso","official-version-path","low","ok","False","https://download.freebsd.org/releases/ISO-IMAGES/15.0/FreeBSD-15.0-RELEASE-amd64-disc1.iso","True","200","","pinned+remote","https://download.freebsd.org/releases/ISO-IMAGES/15.0/CHECKSUM.SHA256-FreeBSD-15.0-RELEASE-amd64","True","200","","","","Use the FreeBSD release ISO-IMAGES directory and architecture-specific CHECKSUM.SHA256 file. Demote if only snapshot/STABLE images are available."
"28","OpenBSD 7.9 amd64 install ISO","ISO\BSD\install79.iso","official-mirror","low","ok","False","https://cdn.openbsd.org/pub/OpenBSD/7.9/amd64/install79.iso","True","200","","pinned+remote","https://cdn.openbsd.org/pub/OpenBSD/7.9/amd64/SHA256","True","200","","","","Use cdn.openbsd.org for the same release/architecture and the official SHA256 file. Demote if only snapshots are available."
"29","Rocky Linux 10.1 Minimal (x86_64)","ISO\Linux\Rocky-10.1-x86_64-minimal.iso","official-mirror","medium","ok","False","https://download.rockylinux.org/pub/rocky/10/isos/x86_64/Rocky-10.1-x86_64-minimal.iso","True","200","","pinned+remote","https://download.rockylinux.org/pub/rocky/10/isos/x86_64/CHECKSUM","True","200","","","","Use the official Rocky Linux 10 x86_64 ISO directory and CHECKSUM file. Do not use latest aliases unless the version and hash are repinned."
"30","AlmaLinux 10.1 Minimal (x86_64)","ISO\Linux\AlmaLinux-10.1-x86_64-minimal.iso","official-mirror","medium","ok","False","https://repo.almalinux.org/almalinux/10/isos/x86_64/AlmaLinux-10.1-x86_64-minimal.iso","True","200","","pinned+remote","https://repo.almalinux.org/almalinux/10/isos/x86_64/CHECKSUM","True","200","","","","Use the official AlmaLinux 10 x86_64 ISO directory and signed CHECKSUM file. Do not use latest aliases unless the version and hash are repinned."
